Name,Strategise,Discover,Define,Design,Deliver
"""We Will Fail If...""",FALSE,TRUE,FALSE,FALSE,FALSE
(something) of user stories,FALSE,FALSE,FALSE,TRUE,FALSE
5/3/true Prioritisation,FALSE,FALSE,FALSE,TRUE,FALSE
5-Whys,FALSE,TRUE,TRUE,TRUE,FALSE
A/B Testing,FALSE,FALSE,FALSE,FALSE,TRUE
Activation session,TRUE,TRUE,TRUE,TRUE,TRUE
Alginment Workshop,TRUE,TRUE,FALSE,FALSE,FALSE
Brain Storming,FALSE,TRUE,FALSE,FALSE,FALSE
Brain Writing,FALSE,TRUE,TRUE,TRUE,FALSE
Business Canvas,FALSE,FALSE,TRUE,FALSE,FALSE
Canvas (ES),TRUE,FALSE,FALSE,FALSE,FALSE
Card Sort,FALSE,FALSE,FALSE,TRUE,FALSE
Cataloging,FALSE,TRUE,FALSE,FALSE,FALSE
Co-Design,FALSE,FALSE,TRUE,TRUE,FALSE
Crazy 8's,FALSE,FALSE,FALSE,TRUE,FALSE
Cultural Probe,FALSE,TRUE,FALSE,FALSE,FALSE
Current State Mapping,FALSE,TRUE,FALSE,FALSE,FALSE
Customer Direction,FALSE,TRUE,FALSE,FALSE,FALSE
Definition of 'Done',FALSE,FALSE,FALSE,TRUE,FALSE
Design Sprints,TRUE,TRUE,TRUE,TRUE,TRUE
Design Strategy,TRUE,FALSE,FALSE,FALSE,FALSE
Design Thinking,TRUE,TRUE,TRUE,TRUE,TRUE
Desk Research,FALSE,TRUE,FALSE,FALSE,FALSE
Dot Voting,TRUE,FALSE,TRUE,TRUE,FALSE
Drawing? Ideal Experience,FALSE,TRUE,FALSE,FALSE,FALSE
Empathy Map,FALSE,TRUE,FALSE,TRUE,FALSE
Ecosystem Map,FALSE,TRUE,FALSE,TRUE,FALSE
Exp Based Roadmaps,FALSE,FALSE,FALSE,FALSE,TRUE
Facilitated Discussions,TRUE,TRUE,TRUE,TRUE,TRUE
Focus Groups,TRUE,TRUE,TRUE,TRUE,TRUE
Future State Mapping,FALSE,TRUE,FALSE,FALSE,FALSE
How Might We,FALSE,FALSE,FALSE,TRUE,FALSE
Hypertheorising?,FALSE,FALSE,FALSE,TRUE,FALSE
Journey Mapping,FALSE,TRUE,TRUE,TRUE,FALSE
lego Scenarios Play,FALSE,TRUE,FALSE,FALSE,FALSE
Metrics for Success,FALSE,FALSE,FALSE,FALSE,TRUE
Mindsets,FALSE,FALSE,TRUE,FALSE,FALSE
Needs Statement,FALSE,TRUE,FALSE,FALSE,FALSE
Paper Prototypes,FALSE,FALSE,FALSE,FALSE,TRUE
Participatory Research,FALSE,FALSE,FALSE,FALSE,FALSE
Personas,TRUE,FALSE,TRUE,TRUE,FALSE
Prioritisation Grids,FALSE,FALSE,FALSE,TRUE,FALSE
Problem Statement,FALSE,TRUE,FALSE,FALSE,FALSE
Prototyping,FALSE,FALSE,FALSE,TRUE,TRUE
Random Control Trials?,FALSE,FALSE,FALSE,TRUE,FALSE
Ride Along,FALSE,TRUE,FALSE,FALSE,FALSE
Scenario Games,FALSE,TRUE,FALSE,FALSE,FALSE
Service Blueprints,FALSE,FALSE,FALSE,FALSE,TRUE
Story Mapping,FALSE,FALSE,FALSE,TRUE,FALSE
Surveys,TRUE,TRUE,TRUE,TRUE,TRUE
To Be?,FALSE,FALSE,TRUE,FALSE,FALSE
Town Halls,FALSE,FALSE,FALSE,TRUE,FALSE
User Stories?,FALSE,FALSE,TRUE,FALSE,FALSE
User/Task/Environment,FALSE,TRUE,FALSE,FALSE,FALSE
Value Maps,TRUE,FALSE,FALSE,FALSE,FALSE
We care?,FALSE,FALSE,TRUE,FALSE,FALSE
Wireframes,FALSE,FALSE,FALSE,TRUE,TRUE
Workshops,TRUE,TRUE,TRUE,TRUE,TRUE
